comuna,barrio_sector,registros_espacio_publico,registros_deportivos,cruces_inundacion,cruces_sismicos,disponibilidad_confirmada
"01","Aguacatal","18","0","5","0","0"
"01","","0","8","0","0","0"
"01","Terrón Colorado","11","6","1","0","0"
"01","Vista Hermosa","3","0","0","0","0"
"02","Arboledas","9","0","0","0","0"
"02","Brisas de los Álamos","15","4","2","19","0"
"02","Centenario","10","0","0","0","0"
"02","Ciudad Los Álamos","15","29","1","1","0"
"02","El Bosque","13","0","0","0","0"
"02","Granada","4","12","0","0","0"
"02","Juanambú","2","0","0","0","0"
"02","La Campiña","1","1","0","0","0"
"02","La Flora","12","1","0","0","0"
"02","La Paz","1","0","0","0","0"
"02","Menga","2","13","0","0","0"
"02","Normandía","4","0","0","0","0"
"02","","2","0","0","0","0"
"02","Prados del Norte","9","9","0","0","0"
"02","San Vicente","4","9","0","0","0"
"02","Santa Mónica","10","2","0","0","0"
"02","Santa Teresita","5","0","0","0","0"
"02","Senderos de La Flora","8","4","0","0","0"
"02","Urbanización La Flora","5","0","0","0","0"
"02","Urbanización La Merced","3","5","1","0","0"
"02","Versalles","4","0","0","0","0"
"02","Vipasa","15","6","1","0","0"
"03","Ciudad Paraíso","2","0","0","0","0"
"03","El Manantial","3","0","0","0","0"
"03","El Nacional","3","0","0","0","0"
"03","El Peñón","4","0","0","0","0"
"03","El Piloto","4","0","0","0","0"
"03","La Merced","7","0","0","0","0"
"03","Los Libertadores","2","0","0","0","0"
"03","Navarro - La Chanca","1","0","0","0","0"
"03","San Antonio","4","0","0","0","0"
"03","San Cayetano","2","0","0","0","0"
"03","San Juan Bosco","4","0","0","0","0"
"03","San Nicolás","1","0","0","0","0"
"03","San Pascual","2","0","0","0","0"
"03","San Pedro","9","0","0","0","0"
"03","Santa Rosa","3","0","0","0","0"
"04","Bolivariano","2","0","0","0","0"
"04","Calima","5","5","1","6","0"
"04","Fátima","1","0","0","0","0"
"04","Flora Industrial","1","24","0","0","0"
"04","Jorge Isaacs","2","0","0","0","0"
"04","La Alianza","3","0","0","0","0"
"04","La Esmeralda","1","2","0","0","0"
"04","La Isla","1","0","0","0","0"
"04","Las Delicias","0","8","0","0","0"
"04","Olaya Herrera","2","4","1","0","0"
"04","Popular","2","1","0","0","0"
"04","Salomia","16","0","0","0","0"
"04","Santander","1","1","0","0","0"
"04","Sultana - Berlín - San Francisco","4","4","0","0","0"
"04","Unidad Residencial Bueno Madrid","7","1","0","0","0"
"05","Chiminangos Primera Etapa","12","2","14","14","0"
"05","Chiminangos Segunda Etapa","16","5","21","21","0"
"05","El Sena","13","6","0","0","0"
"05","Los Andes","7","0","0","5","0"
"05","Los Andes B - La Riviera","1","5","1","6","0"
"05","Los Guayacanes","32","5","37","37","0"
"05","Los Parques - Barranquilla","12","9","2","16","0"
"05","Metropolitano del Norte","10","10","20","20","0"
"05","Paseo de Los Almendros","3","0","0","3","0"
"05","Torres de Comfandi","13","4","0","0","0"
"05","Villa del Prado - El Guabito","22","12","14","34","0"
"05","Villa del Sol","6","4","9","10","0"
"06","Ciudadela Floralia","16","21","37","37","0"
"06","Fonaviemcali","2","0","2","2","0"
"06","Jorge Eliécer Gaitán","14","4","18","18","0"
"06","La Rivera Primera Etapa","6","3","9","9","0"
"06","Los Alcázares Primera Etapa","9","1","10","10","0"
"06","Los Alcázares Segunda Etapa","11","0","11","11","0"
"06","Los Alcázares Tercera Etapa","9","0","9","9","0"
"06","Los Guaduales","6","13","16","19","0"
"06","Paso del Comercio","16","11","27","27","0"
"06","Petecuy Primera Etapa","3","6","9","9","0"
"06","Petecuy Segunda Etapa","3","3","6","6","0"
"06","Petecuy Tercera Etapa","2","3","5","5","0"
"06","Portada de Comfandi - Las Encinas","1","1","2","2","0"
"06","Puente del Comercio","6","5","10","11","0"
"06","San Luis","10","8","18","18","0"
"06","San Luis II","8","4","12","12","0"
"06","Urbanización Calimio","6","6","12","12","0"
"07","Alfonso Lopez Pumarejo 1a Etapa","8","5","13","13","0"
"07","Alfonso Lopez Pumarejo 2a Etapa","3","10","13","13","0"
"07","Alfonso Lopez Pumarejo 3a Etapa","11","14","25","25","0"
"07","Fepicol","3","10","13","13","0"
"07","Las Ceibas","9","6","3","15","0"
"07","Los Pinos","2","2","4","4","0"
"07","Puerto Mallarino","1","0","1","1","0"
"07","San Marino","6","2","4","8","0"
"07","Sector Parque de la Caña","3","23","0","0","0"
"07","Siete de Agosto","5","5","10","10","0"
"07","Urbanización El Ángel del Hogar","1","5","6","6","0"
"08","Atanasio Girardot","1","3","0","2","0"
"08","Benjamín Herrera","0","1","0","0","0"
"08","Chapinero","1","0","0","0","0"
"08","El Trébol","2","5","0","7","0"
"08","El Troncal","0","5","0","0","0"
"08","Industrial","8","5","0","0","0"
"08","La Base","1","6","0","7","0"
"08","La Floresta","2","1","0","0","0"
"08","Las Américas","3","4","0","0","0"
"08","Municipal","1","1","0","0","0"
"08","Primitivo Crespo","3","0","0","0","0"
"08","Rafael Uribe Uribe","3","0","0","0","0"
"08","Saavedra Galindo","1","0","0","0","0"
"08","Santa Fé","2","5","0","1","0"
"08","Urbanización La Nueva Base","13","4","3","17","0"
"08","Villa Colombia","3","10","0","3","0"
"09","Alameda","2","0","0","0","0"
"09","Barrio Obrero","1","7","0","0","0"
"09","Belalcázar","5","0","0","0","0"
"09","Bretaña","4","1","0","0","0"
"09","Guayaquil","0","3","0","0","0"
"09","Junín","1","2","0","0","0"
"09","Manuel María Buenaventura","2","1","0","0","0"
"10","Colseguros Andes","2","9","0","0","0"
"10","Cristóbal Colón","3","4","0","7","0"
"10","Departamental","4","12","0","0","0"
"10","El Dorado","6","6","0","2","0"
"10","El Guabal","26","18","0","22","0"
"10","Jorge Zawadsky","2","1","0","0","0"
"10","La Libertad","3","0","0","3","0"
"10","La Selva","4","7","0","1","0"
"10","Las Acacias","1","1","0","0","0"
"10","Las Granjas","2","0","0","2","0"
"10","Olímpico","9","10","0","0","0"
"10","Panamericano","2","4","0","0","0"
"10","Pasoancho","2","2","0","0","0"
"10","San Cristóbal","1","3","0","0","0"
"10","San Judas Tadeo I","2","2","0","4","0"
"10","San Judas Tadeo II","1","3","0","4","0"
"10","Santa Elena","2","0","0","0","0"
"10","Santo Domingo","2","0","0","0","0"
"11","20 de Julio","1","0","0","0","0"
"11","Aguablanca","3","1","0","0","0"
"11","El Jardín","9","8","0","17","0"
"11","El Prado","6","0","0","0","0"
"11","El Recuerdo","1","0","0","0","0"
"11","José Holguín Garcés","7","0","0","7","0"
"11","José María Córdoba","1","1","0","2","0"
"11","La Fortaleza","3","4","0","7","0"
"11","La Gran Colombia","2","4","0","6","0"
"11","La Independencia","1","0","0","1","0"
"11","Los Conquistadores","1","0","0","1","0"
"11","Los Sauces - Ciudad Modelo","4","6","0","10","0"
"11","","2","0","0","2","0"
"11","Prados de Oriente","4","5","0","5","0"
"11","Primavera","5","3","0","8","0"
"11","San Benito","7","0","0","7","0"
"11","San Carlos","12","11","0","23","0"
"11","San Pedro Claver","1","2","0","3","0"
"11","Urbanización Boyaca","0","1","0","1","0"
"11","Villa del Sur","7","7","0","14","0"
"12","Alfonso Barberena A.","1","2","0","3","0"
"12","Asturias","2","1","0","3","0"
"12","Doce de Octubre","1","5","0","6","0"
"12","El Paraíso","0","4","0","4","0"
"12","Fenalco Kennedy","1","3","0","4","0"
"12","Julio Rincón","6","0","0","6","0"
"12","Nueva Floresta","12","14","20","26","0"
"12","Sindical","2","2","1","4","0"
"13","Asprosocial - Diamante","1","2","1","3","0"
"13","Calipso","9","11","13","20","0"
"13","Charco Azul","2","0","2","2","0"
"13","El Diamante","1","7","7","8","0"
"13","El Poblado I","6","7","7","13","0"
"13","El Poblado II","5","5","10","10","0"
"13","El Pondaje","5","0","5","5","0"
"13","Lleras Restrepo","2","0","2","2","0"
"13","Lleras Restrepo II","2","0","2","2","0"
"13","Los Comuneros II Etapa","7","3","10","10","0"
"13","Los Robles","6","2","8","8","0"
"13","Ricardo Balcázar","6","0","6","6","0"
"13","Rodrigo Lara Bonilla","1","2","3","3","0"
"13","Sector Laguna del Pondaje","3","3","6","6","0"
"13","Ulpiano Lloreda","3","0","3","3","0"
"13","Villablanca","1","0","1","1","0"
"13","Yira Castro","6","0","6","6","0"
"14","Alfonso Bonilla Aragón","10","0","10","10","0"
"14","Alirio Mora Beltrán","6","0","6","6","0"
"14","José Manuel Marroquín Primera Etapa","6","0","6","6","0"
"14","José Manuel Marroquín Segunda Etapa","2","0","2","2","0"
"14","Las Orquídeas","5","0","5","5","0"
"14","Los Naranjos I","3","0","3","3","0"
"14","Los Naranjos II","6","0","6","6","0"
"14","Manuela Beltrán","10","0","10","10","0"
"14","","1","0","1","1","0"
"14","Promociones Populares B","13","0","13","13","0"
"14","Puerta del Sol","6","0","6","6","0"
"15","Ciudad Córdoba","15","0","6","15","0"
"15","El Morichal","34","0","16","34","0"
"15","El Retiro","3","0","3","3","0"
"15","El Vallado","14","0","14","14","0"
"15","Laureano Gómez","1","0","1","1","0"
"15","Los Comuneros I","5","0","5","5","0"
"15","Mojica","31","1","32","32","0"
"16","Antonio Nariño","4","5","9","9","0"
"16","Brisas del Limonar","4","0","0","0","0"
"16","Ciudad 2000","21","5","0","23","0"
"16","Mariano Ramos","5","10","0","14","0"
"16","República de Israel","4","5","1","9","0"
"16","Unión de Vivienda Popular","3","3","6","6","0"
"17","Bosques del Limonar","4","0","0","0","0"
"17","Caney","41","0","0","41","0"
"17","Cañaverales - Los Samanes","11","0","0","0","0"
"17","Ciudad Capri","7","0","0","0","0"
"17","Ciudadela Comfandi","23","5","0","19","0"
"17","Ciudadela Pasoancho","1","0","0","0","0"
"17","El Gran Limonar","14","2","0","0","0"
"17","El Gran Limonar - Cataya","4","4","0","0","0"
"17","El Ingenio","26","0","0","0","0"
"17","El Limonar","22","0","0","1","0"
"17","La Hacienda","9","0","0","0","0"
"17","La Playa","1","0","0","0","0"
"17","Las Quintas de Don Simón","5","0","0","0","0"
"17","Lili","45","0","0","22","0"
"17","Los Portales - Nuevo Rey","7","0","0","0","0"
"17","Mayapan - Las Vegas","9","0","0","0","0"
"17","","1","0","0","0","0"
"17","Prados del Limonar","7","0","0","0","0"
"17","Primero de Mayo","3","0","0","1","0"
"17","Santa Anita - La Selva","5","13","0","0","0"
"17","Sector Ciudad Universitaria","0","32","0","0","0"
"17","Unicentro Cali","1","0","0","0","0"
"17","Urbanización San Joaquín","8","0","0","0","0"
"18","Alférez Real","7","0","0","0","0"
"18","Altos de Santa Elena","21","0","0","0","0"
"18","Altos del Madrigal","8","0","0","0","0"
"18","Bajo Meléndez","7","0","0","0","0"
"18","Buenos Aires","3","3","0","0","0"
"18","Caldas","2","1","0","0","0"
"18","Colinas del Sur","3","0","0","0","0"
"18","El Jordán","2","0","0","0","0"
"18","Francisco Eladio Ramírez","1","0","0","0","0"
"18","Horizontes","3","4","0","0","0"
"18","Los Chorros","1","0","0","0","0"
"18","Los Farallones","11","4","0","0","0"
"18","Lourdes","3","5","0","0","0"
"18","Meléndez","1","1","0","0","0"
"18","Nápoles","1","0","0","0","0"
"18","Prados del Sur","1","2","0","0","0"
"18","Sector Alto de los Chorros","5","0","0","0","0"
"18","Sector Alto Jordán","8","0","0","0","0"
"18","Sector Alto Nápoles","10","0","0","0","0"
"18","Sector Cuarteles de Nápoles","2","1","0","0","0"
"18","Sector Polvorines","3","0","0","0","0"
"19","3 de Julio","2","0","0","0","0"
"19","Altos de Santa Isabel","8","0","0","0","0"
"19","Belén","2","0","0","0","0"
"19","Bellavista","8","0","0","0","0"
"19","Camino Real - Joaquín Borrero Sinisterra","7","0","0","0","0"
"19","Camino Real - Los Fundadores","4","0","0","0","0"
"19","Cañaveral","1","0","0","0","0"
"19","Cañaveralejo - Seguros Patria","9","4","0","0","0"
"19","Cañaveralejo Guadalupe","12","0","2","0","0"
"19","Champagnat","7","0","0","0","0"
"19","Cuarto de Legua - Guadalupe","3","0","0","0","0"
"19","El Cedro","1","0","0","0","0"
"19","El Lido","0","4","0","0","0"
"19","El Mortiñal","3","0","0","0","0"
"19","El Refugio","10","2","0","0","0"
"19","Eucarístico","10","0","0","0","0"
"19","La Cascada","5","1","0","0","0"
"19","Los Cámbulos","4","0","0","0","0"
"19","Miraflores","2","0","0","0","0"
"19","Nueva Tequendama","5","16","0","0","0"
"19","Pampa Linda","8","28","0","0","0"
"19","San Fernando Nuevo","7","11","0","0","0"
"19","San Fernando Viejo","6","9","0","0","0"
"19","Santa Bárbara","1","0","0","0","0"
"19","Santa Isabel","6","0","0","0","0"
"19","Sector Unidad Deportiva Alberto Galindo Plaza de Toros","1","30","0","0","0"
"19","Sector Unidad Deportiva Jaime Aparicio","0","70","0","0","0"
"19","Tejares - Cristales","13","0","0","0","0"
"19","Unidad Residencial Santiago de Cali","5","4","0","0","0"
"19","Urbanización Colseguros","5","2","0","0","0"
"19","Urbanización Militar","5","0","0","0","0"
"19","Urbanización Tequendama","3","0","0","0","0"
"20","Belén","3","0","0","0","0"
"20","Belisario Caicedo","3","0","0","0","0"
"20","Brisas de Mayo","3","0","0","0","0"
"20","Cañaveralejo","1","0","0","0","0"
"20","Lleras Camargo","2","0","0","0","0"
"20","Pueblo Joven","5","0","0","0","0"
"20","Siloé","4","2","0","0","0"
"20","Venezuela","2","0","2","0","0"
"21","Calimio Desepaz","11","0","11","11","0"
"21","Ciudad Talanga","8","0","8","8","0"
"21","Ciudadela del Rio","13","0","13","13","0"
"21","Ciudadela Río Cauca","8","0","8","8","0"
"21","Compartir","20","0","20","20","0"
"21","Desepaz Invicali","7","0","7","7","0"
"21","El Remanso","8","0","8","8","0"
"21","Los Líderes","2","0","2","2","0"
"21","Nuevo Amanecer","32","0","32","32","0"
"21","Pizamos I","1","0","1","1","0"
"21","Pizamos II","9","0","9","9","0"
"21","Pizamos III - Las Dalias","3","0","3","3","0"
"21","Sector Planta de Tratamiento","2","3","5","5","0"
"21","Sector Villamercedes I - Villa Luz - Las Garzas","5","0","5","5","0"
"21","Valle Grande","32","0","32","32","0"
"22","Ciudad Campestre","15","0","0","0","0"
"22","Club Campestre","5","34","0","0","0"
"22","Parcelaciones Pance","67","13","0","0","0"
"22","Urbanización Ciudad Jardín","18","0","0","0","0"
"22","Urbanización Río Lili","3","0","0","0","0"
"","Aguacatal","2","0","2","0","0"
"","","30","18","1","11","0"
"","Patio Bonito","2","0","0","0","0"
