archivo,dataset,entidad,pagina_fuente,url_descarga,licencia,fecha_descarga,nota
raw/idesc/pdt_dpa_comunas.geojson,Comunas de Santiago de Cali (Acuerdo 0636 de 2026),DAPM,https://www.datos.gov.co/dataset/Comunas-de-Santiago-de-Cali/dx2g-2mhm,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_comunas&outputFormat=application/json&srsName=EPSG:4326,CC BY,2026-09-25,"Servicio WFS de la IDESC, capa dapm:pdt_dpa_comunas"
raw/idesc/pdt_dpa_barrios_sectores.geojson,Barrios y sectores de Santiago de Cali,DAPM,https://datos.cali.gov.co/dataset/servicio-wms-barrios-de-cali,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_barrios_sectores&outputFormat=application/json&srsName=EPSG:4326,CC BY,2026-09-25,"Servicio WFS de la IDESC, capa dapm:pdt_dpa_barrios_sectores"
raw/idesc/epou_epu_espacio_publico_efectivo.geojson,EPOU - Espacio Público Efectivo,DAPM,https://datos.cali.gov.co/dataset/epou-espacio-publico-efectivo,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:epou_epu_espacio_publico_efectivo&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa dapm:epou_epu_espacio_publico_efectivo"
raw/idesc/escenarios_deportivos.geojson,Escenarios deportivos (puntos),Secretaría del Deporte y la Recreación,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=deporte_recreacion:escenarios_deportivos&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa deporte_recreacion:escenarios_deportivos"
raw/idesc/eqp_uba_deporte.geojson,POT - Equipamientos de deporte,DAPM,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:eqp_uba_deporte&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:eqp_uba_deporte"
raw/idesc/eqp_uco_educacion.geojson,POT - Equipamientos de educación,DAPM,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:eqp_uco_educacion&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:eqp_uco_educacion"
raw/idesc/eqp_uco_salud.geojson,POT - Equipamientos de salud,DAPM,https://datos.cali.gov.co/dataset/pot-salud,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:eqp_uco_salud&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:eqp_uco_salud"
raw/idesc/esf_establecimiento_educativo.geojson,Establecimientos educativos,Secretaría de Educación,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=educacion:esf_establecimiento_educativo&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa educacion:esf_establecimiento_educativo"
raw/idesc/mc_microzonificacion_sismica.geojson,Microzonificación sísmica de Cali,DAPM / IDESC,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=idesc:mc_microzonificacion_sismica&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa idesc:mc_microzonificacion_sismica"
raw/idesc/mc_susceptible_licuacion.geojson,Zonas susceptibles a licuación,DAPM / IDESC,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=idesc:mc_susceptible_licuacion&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa idesc:mc_susceptible_licuacion"
raw/idesc/amb_ari_efectos_sismicos.geojson,POT - Efectos sísmicos (licuación y corrimiento lateral),DAPM,https://datos.cali.gov.co/dataset/efectos-sismicos,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_efectos_sismicos&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:amb_ari_efectos_sismicos"
raw/idesc/amb_ari_inundacion_fluvial.geojson,POT - Inundación fluvial,DAPM,https://datos.cali.gov.co/dataset/inundacion-fluvial,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_inundacion_fluvial&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:amb_ari_inundacion_fluvial"
raw/idesc/amb_ari_inundacion_pluvial.geojson,POT - Inundación pluvial,DAPM,https://datos.cali.gov.co/dataset/inundacion-pluvial,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_inundacion_pluvial&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:amb_ari_inundacion_pluvial"
raw/idesc/amb_ari_amenaza_desborde_creciente.geojson,POT - Zonas de desbordamiento Tr 50 años,DAPM,https://datos.cali.gov.co/dataset/zonas-de-desbordamiento-con-periodos-de-retorno-de-50-anos,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_amenaza_desborde_creciente&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:amb_ari_amenaza_desborde_creciente"
raw/idesc/amb_ari_diques.geojson,POT - Diques (incluye Jarillón del río Cauca),DAPM,https://datos.cali.gov.co/dataset/diques,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_diques&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa pot_2014:amb_ari_diques"
raw/idesc/emc_amb_ari_amenaza_no_mitigable_inundacion.geojson,Amenaza no mitigable por inundación (río Cauca y tributarios),DAPM - Expediente municipal,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=expediente_municipal:emc_amb_ari_amenaza_no_mitigable_inundacion&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa expediente_municipal:emc_amb_ari_amenaza_no_mitigable_inundacion"
raw/idesc/ads_ips_capacidad_reps.geojson,IPS y capacidad instalada (REPS),Secretaría de Salud Pública,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=salud:ads_ips_capacidad_reps&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa salud:ads_ips_capacidad_reps"
raw/idesc/pfp_ivc_organismos_accion_comunal.geojson,Organismos de acción comunal (JAC),Secretaría de Desarrollo Territorial y Participación Ciudadana,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=desarrollo_territorial_pc:pfp_ivc_organismos_accion_comunal&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa desarrollo_territorial_pc:pfp_ivc_organismos_accion_comunal"
