comuna,Copernicus EMSR916,ICube-SERTIT,MEN sedes educativas,Microsoft/Airbus (modelo IA),destruidos,danados,posibles,indice_afectacion,barrios_mas_afectados
19,0,77,6,94,7,26,44,170.0,Urbanización Nueva Granada; Urbanización Tequendama; Cuarto de Legua - Guadalupe; El Refugio
fuera_urbano,0,0,6,270,0,0,0,141.0,Patio Bonito
20,0,0,1,104,0,0,0,53.0,Siloé; Brisas de Mayo; Belén; Lleras Camargo
02,0,0,0,74,0,0,0,37.0,Sector Altos de Menga; Santa Mónica; La Flora; Menga
13,0,0,5,61,0,0,0,35.5,Sector Laguna del Pondaje; El Poblado II; Lleras Restrepo II; Los Lagos
09,7,4,6,8,4,5,2,34.0,Barrio Obrero; Sucre; Guayaquil; Bretaña
01,0,0,7,44,0,0,0,29.0,Terrón Colorado; Vista Hermosa; Aguacatal
06,3,0,0,46,0,2,1,28.0,Ciudadela Floralia; Paso del Comercio; Urbanización Calimio; Jorge Eliécer Gaitán
03,7,2,1,13,4,1,4,25.5,San Juan Bosco; Santa Rosa; San Pascual; Los Libertadores
10,0,4,10,9,1,2,1,22.5,Olímpico; Cristóbal Colón; Pasoancho; Panamericano
14,0,0,5,35,0,0,0,22.5,Manuela Beltrán; José Manuel Marroquín Primera Etapa; José Manuel Marroquín Segunda Etapa; Puerta del Sol
11,0,0,8,27,0,0,0,21.5,El Jardín; Los Sauces - Ciudad Modelo; Aguablanca; San Carlos
04,4,0,4,16,2,1,1,21.0,Manzanares; Calima; Flora Industrial; La Alianza
08,0,0,9,20,0,0,0,19.0,Atanasio Girardot; Rafael Uribe Uribe; El Trébol; Villa Colombia
05,0,0,2,19,0,0,0,11.5,Los Parques - Barranquilla; Villa del Prado - El Guabito; Los Guayacanes; Los Andes
17,0,7,0,0,0,3,4,10,El Gran Limonar; El Gran Limonar - Cataya; Santa Anita - La Selva
07,0,0,5,10,0,0,0,10.0,Alfonso Lopez Pumarejo 3a Etapa; Alfonso Lopez Pumarejo 2a Etapa; San Marino; Siete de Agosto
12,0,0,2,13,0,0,0,8.5,El Rodeo; Doce de Octubre; Nueva Floresta; Fenalco Kennedy
15,0,0,2,13,0,0,0,8.5,Mojica; Los Comuneros I; El Retiro
16,0,0,5,4,0,0,0,7.0,Antonio Nariño; República de Israel; Mariano Ramos
18,0,0,4,0,0,0,0,4,Caldas; Buenos Aires; El Jordán; Sector Alto Nápoles
21,0,0,0,7,0,0,0,3.5,Desepaz Invicali; Compartir; Valle Grande
