fuente,grado,tipo,nombre,lat,lon,comuna,barrio_cod,barrio
Copernicus EMSR916,Destroyed,Residential,Unknown,3.4636483,-76.51029784,04,0405,Manzanares
Copernicus EMSR916,Destroyed,Residential,Unknown,3.46383938,-76.51039317,04,0405,Manzanares
Copernicus EMSR916,Damaged,Residential,Unknown,3.47205802,-76.50473334,04,0422,La Alianza
Copernicus EMSR916,Possibly damaged,Residential,Unknown,3.48495638,-76.5001065,04,0421,Calima
Copernicus EMSR916,Damaged,Residential,Unknown,3.50326891,-76.49234683,06,0610,Ciudadela Floralia
Copernicus EMSR916,Possibly damaged,Residential,Unknown,3.50327375,-76.49239853,06,0610,Ciudadela Floralia
Copernicus EMSR916,Damaged,Residential,Unknown,3.50511072,-76.4939362,06,0610,Ciudadela Floralia
Copernicus EMSR916,Destroyed,Residential,Unknown,3.44282263,-76.5350474,03,0306,San Juan Bosco
Copernicus EMSR916,Possibly damaged,Residential,Unknown,3.44432591,-76.53494744,03,0306,San Juan Bosco
Copernicus EMSR916,Possibly damaged,Residential,Unknown,3.44512292,-76.53178086,03,0306,San Juan Bosco
Copernicus EMSR916,Destroyed,Residential,Unknown,3.44532137,-76.5310862,03,0306,San Juan Bosco
Copernicus EMSR916,Possibly damaged,Residential,Unknown,3.44535727,-76.52785666,03,0309,San Pascual
Copernicus EMSR916,Destroyed,Residential,Unknown,3.44720158,-76.53559882,03,0307,Santa Rosa
Copernicus EMSR916,Destroyed,Residential,Unknown,3.44721683,-76.53551462,03,0307,Santa Rosa
Copernicus EMSR916,Damaged,Residential,Unknown,3.44436658,-76.52622112,09,0909,Sucre
Copernicus EMSR916,Damaged,Residential,Unknown,3.44440758,-76.52613125,09,0909,Sucre
Copernicus EMSR916,Damaged,Residential,Unknown,3.44464934,-76.52618058,09,0909,Sucre
Copernicus EMSR916,Destroyed,Residential,Unknown,3.44543404,-76.52300955,09,0909,Sucre
Copernicus EMSR916,Destroyed,Residential,Unknown,3.44629179,-76.52161292,09,0910,Barrio Obrero
Copernicus EMSR916,Destroyed,Residential,Unknown,3.44630311,-76.51968715,09,0910,Barrio Obrero
Copernicus EMSR916,Destroyed,Residential,Unknown,3.45068746,-76.52290333,09,0910,Barrio Obrero
ICube-SERTIT,Possibly damaged,Residential,,3.442325168000025,-76.54607044299996,03,0315,Navarro - La Chanca
ICube-SERTIT,Damaged,Residential,,3.440682929000047,-76.54225660799995,19,1911,Miraflores
