id,tipo,subtipo,escala,comuna,barrio_cod,barrio,lat,lon,area_m2,estado_cualitativo,grado_cercania,inund_fluvial,inund_pluvial,zona_inund_rio_cauca,dist_dique_cauca_m,micro_sismica_zona,micro_sismica_Aa,licuacion,corrimiento_lateral,danos_sismo_500m,danos_graves_500m,ips_cercana,dist_ips_m,socorro_cercano,dist_socorro_m,indice_afectacion_comuna,street_view
EPE_02-8413,Parque,Parque damero,Zonal,02,0294,Vipasa,3.479966,-76.51919,5292,Adecuado,Media,Sin amenaza,Sin amenaza,No,3738,Zona 4B,0.28,No,No,0,0,CENTRO ESPECIALIZADO EN FRACTURAS Y LESIONES DEPORTIVAS,247,Defensa Civil La Flora,1311,37.0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.47996562350704,-76.5191896717876"
EPE_03-8414,Parque,Parque damero,Local,02,0294,Vipasa,3.481197,-76.517145,1841,Adecuado,Alta,Sin amenaza,Sin amenaza,No,3474,Zona 4B,0.28,No,No,0,0,CENTRO ESPECIALIZADO EN FRACTURAS Y LESIONES DEPORTIVAS,468,Defensa Civil La Flora,1105,37.0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.48119673736053,-76.51714457908"
EPE_04-8415,Parque,Parque damero,Local,02,0217,Ciudad de Los Alamos,3.48457,-76.508416,2396,Medio,Alta,Sin amenaza,Sin amenaza,No,2483,Zona 4B,0.28,No,No,1,0,PUESTO DE SALUD CALIMA,720,Bomberos Estacion X8,923,37.0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.48457022744978,-76.5084158034525"
EPE_05-8416,Zona verde,No aplica,Local,02,0212,La Flora,3.482613,-76.522329,1063,Medio,Alta,Sin amenaza,Sin amenaza,No,3872,Zona 4B,0.28,No,No,8,0,RTS - SERVICIOS DE TERAPIA RENAL DEL VALLE,89,Defensa Civil La Flora,1259,37.0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.48261305235119,-76.5223289492553"
EPE_06-8417,Parque,Parque damero,Local,02,0294,Vipasa,3.482035,-76.516617,2263,Adecuado,Alta,Sin amenaza,Sin amenaza,No,3372,Zona 4B,0.28,No,No,0,0,IPS CFA LA FLORA,424,Defensa Civil La Flora,1000,37.0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.48203462136725,-76.5166171614433"
EPE_07-8418,Parque,Parque damero,Local,03,0301,El Nacional,3.443462,-76.546372,682,Medio,Alta,Sin amenaza,Sin amenaza,No,7717,Zona 3,0.35,No,No,16,0,CARLOS EDUARDO ROJAS MARTINEZ,390,Bomberos Estacion X2,1320,25.5,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.4434623186548,-76.5463716443112"
EPE_08-8419,Plaza,Plaza de estancia,Local,03,0311,San Pedro,3.453644,-76.532146,2354,Adecuado,Alta,Sin amenaza,Sin amenaza,No,6051,Zona 2,0.35,No,No,2,0,ORTHOMANIA CALI CENTRO,141,Gestion del Riesgo Oficina,429,25.5,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.45364423744232,-76.5321463084283"
EPE_09-8420,Parque,Parque irregular,Zonal,03,0303,San Antonio,3.444803,-76.546905,33501,Medio,Baja,Sin amenaza,Sin amenaza,No,7760,Zona 2,0.35,No,No,16,0,E.S.E. RED DE SALUD DE LADERA EMPRESA SOCIAL DEL ESTADO HOSPITAL CAÑAVERALEJO,425,Bomberos Estacion X2,1461,25.5,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.44480277309522,-76.5469049127625"
EPE_10-8421,Plazoleta,Plazoleta de enlace,Local,03,0306,San Juan Bosco,3.442471,-76.532722,2415,Medio,Media,Sin amenaza,Sin amenaza,No,6228,Zona 3,0.35,No,No,6,2,Instituto Santa Maria,372,Bomberos Estacion X2,868,25.5,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.44247138617291,-76.5327220758873"
EPE_100-8509,Zona verde,No aplica,Local,02,0294,Vipasa,3.477465,-76.52154,1832,Medio,Alta,Sin amenaza,Sin amenaza,No,4113,Zona 4B,0.28,No,No,0,0,FERNANDO URIBE SATIZÁBAL,285,Defensa Civil La Flora,1675,37.0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=3.47746455535485,-76.5215397668783"
