Comuna;ID_BARRIO;Barrio;DIRECCION;ESCENARIO;Tipo Espacio;TIPO ESCENENARIO;EQUIPAMIENTO;PROGRAMAS SECRETARIA DE DEPORTE;GRAMA NATURAL;SINTETICA;MULTIPLE;BALONCESTO;VOLEIBOL;PISCINA ADULTOS;PISCINA NI�OS;JUEGOS INFANTILES;BIOSALUDABLES;PISTA PATINAJE;PISTA DE TROTE;PISTA BMX;TENIS;TEJO;HOCKEY;FUTSALA;MICROFUTB;VOLEY PLAYA
1;1;Urbanizacion La Fortuna;A 2 O # 20 - 00;Cancha Multiple La Fortuna;Cerrado;CANCHA MULTIPLE;Cancha Multiple- Juegos Infantiles;Deporvida(Futsala) Cuerpo Y Espiritu(Gimnasia Dirigida)- Deporte Comunitario;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;La Portada;A 4BIS O # 12 - 00;Polideportivo Las Malvinas;Cerrado;POLIDEPORTIVO;Cancha Multiple- Juegos Infantiles- Pista De Patinaje- Kiosko- Edificacion;Canas Y Ganas- Cuerpo Y Espiritu;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
1;1;Villa Del Mar;A 8 O # 30C - 40;Cancha Multiple Villa Del Mar;Cerrado;CANCHA MULTIPLE;Cancha Multiple- Juegos Infantiles;Deporvida(Baloncesto- Patinaje) Cuerpo Y Espiritu(Gimnasia Dirigida)- Vive El Parque- Canas Y Ganas;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;1;Terron Colorado;C 18A # 6 O-58;Coliseo Celestino Mutis;Abierto;COLISEO;Cancha Multiple- Juegos Infantiles- Pista De Trote- Biosaludables- Camerinos;Deporvida( Futsala-Voleibol-Esgrima-Ajedrez- Atletismo- Baloncesto- Patinaje) Cuerpo Y Espiritu (Gimnasia Dirigida) - Deporte Comunitario;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
1;1;Terron Colorado;C 19 # 4 BIS O-50;Unidad Recreativa Tory Castro;Cerrado;UNIDAD RECREATIVA;Salon Multiple- Piscina Ninos- Piscina Adultos- Juegos Infantiles- Edificacion;Deporvida(Baloncesto- Futbol Futsala-Voleibol- Natacion-Esgrima-Taekwondo-Ajedrez) Cuerpo Y Espiritu (Gimnasia Dirigida)- Canas Y Ganas- Cali Integra- Carreras Y Caminata;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
1;2;Vista Hermosa;A 5 O # 44 - 69;Cancha Multiple De Vista Hermosa;Cerrado;CANCHA MULTIPLE;Cancha Grama Natural- Cancha Multiple-  Juegos Infantiles- Biosaludables;Deporvida (Futsala)- Canas Y Ganas- Vertigo- Deporte Comunitario;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1;99;Urbanizacion Aguacatal;A 12 O # 15 - 00;Cancha Multiple Urbanizacion Aguacatal;Cerrado;CANCHA MULTIPLE;Cancha Multiple;Canas Y Ganas - Carreras Y Caminatas;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;99;Bajo Aguacatal;A 15 O # 10 - 00;Coliseo Cubierto Bajo Aguacatal;Cerrado;COLISEO;Placa Cubierta- Casa De Comodato- Camerinos;Deporvida (Patinaje)- Cuerpo Y Espiritu(Gimnasia Dirigida)- Canas Y Ganas- Vertigo- Cali Integra- Mi Comunidad Es Escuela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;99;Bajo Aguacatal;A 15 O # 4 - 00;Parque Recreativo El  Ancla;Cerrado;PARQUE RECREATIVO;Cancha Multiple- Casa De Comodato;Deporvida;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;99;Alto Aguacatal;A 9 O # 19C - 00;Parque Recreativo Cousaca;Abierto;PARQUE RECREATIVO;Cancha Grama Natural- Cancha Multiple- Juegos Infantiles;Deporvida- Deporte Comunitario;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
