Comuna,Estrato 1,Estrato 2 ,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total,Estrato moda
Total,9939,12772,12350,3300,2656,904,41921,2
1,653,350,4,5,1,6,1018,1
2,114,33,279,895,890,212,2423,4
3,60,146,746,27,51,1,1031,3
4,62,762,714,2,0,0,1540,2
5,0,37,1400,35,0,0,1472,3
6,113,1932,273,0,0,0,2318,2
7,108,625,770,1,0,0,1504,3
8,0,343,1875,0,0,0,2218,3
9,130,257,915,0,0,0,1302,3
10,0,120,1609,309,3,0,2041,3
11,5,539,1387,0,0,0,1931,3
12,0,551,730,0,0,0,1281,3
13,772,1978,313,0,0,0,3063,2
14,2324,881,0,0,0,0,3205,1
15,959,1119,423,0,0,0,2501,2
16,100,1506,3,166,0,0,1775,2
17,0,4,177,627,920,98,1826,5
18,932,570,564,25,6,0,2097,1
19,34,112,93,1127,743,114,2223,4
20,1494,238,55,0,0,0,1787,1
21,1903,541,0,0,0,0,2444,1
22,0,13,0,1,28,378,420,6
Otros,176,115,20,80,15,95,501,-
