Organismo|Sede|Nombre Sede|Direccion|Barrio|Comuna|Telefono|Localizacion
Bomberos|Estacion X2|Ct. Jaime Castro Cordoba|Carrera 24 # 7 - 22|Alameda|9|5190959 Ext 201 - 202|(3.436013889, -76.53711667)
Bomberos|Estacion X3|Ct. Francisco E. Andrade Mercado|Calle 33A # 11 F- 07|Municipal|8|8821252 Ext 301 - 302|(3.447422222, -76.51150556)
Bomberos|Estacion X4|Ct. Alfredo Hurtado Sanchez|Calle 36 # 44 - 20|Villa Del Sur|11|8821252 Ext 401 - 402|(3.410775, -76.517775)
Bomberos|Estacion X5|Gustavo Velasco Sarmiento|Carrera 52 Oeste # 1 - 20|Siloe|20|8821252 Ext 501 - 502|(3.416613889, -76.55500556)
Bomberos|Estacion X6|Jose Aparicio Rodewalt|Avenida 15 Oeste # 10 - 40|Aguacatal|1|8821252 Ext 601 - 602|(3.460425, -76.55518333)
Bomberos|Estacion X1|Central|Avenida 3N # 20N - 54|Versalles|2|8821252 Ext 101-102|(3.460341667, -76.52734167)
Bomberos|Estacion X7|Antonio Jose Arana|Calle 73 # D 26M - 53|Los Mangos|14|8821252 Ext 701 - 702|(3.426294444, -76.48396111)
Bomberos|Estacion X8|CT.Manuel Jordá Capdevilla|Calle 62 N # 3B Bis -12|La Flora|2|5190959 Ext 801 - 802|(3.490713889, -76.51401389)
Bomberos|Estacion X9|El Saladito|Kilometro 12 Via Al Mar|El Saladito|60|5190959|(3.488122222, -76.603425)
Bomberos|Estacion X10|CT. Gonzalo A. Magaña Colmenares|Carrera 41 D # 54 A- 25|El Vallado|15|5190959 Ext 1001|(3.404016667, -76.50149722)
Bomberos|Estacion X11|CT Luis Fischer Von Becker|Carrera 87 # 4C - 95|Melendez|18|8821252 Ext 1101-1102|(3.379916667, -76.54445278)
Defensa Civil|La Flora|La Flora|Calle 62 Esquina Avenida 3 B1N# 63N - 00|La Flora|2|4000257|(3.490769444, -76.51446389)
Cruz Roja|San Fernando|Crus Roja Seccional Valle|Carrera 38 Bis # 5 - 91|San Fernando|19|5184200|(3.427222222, -76.54478611)
Gestion del Riesgo|Oficina|Gestion Del Riesgo|Cra. 9 #10-04 Piso 9|Hotel Aristi|3|(3.4475794,-76.5407968)|
Gestion del Riesgo|Oficina|Plan Jarillon|Cra. 5 #8-69|Centro|3||(3.450542,-76.5344407)
Gestion del Riesgo|Punto De Atención|Cali 7|Calle 7 G # 76 - 34|Alfonso Lopez|7|6629960|(3.459825, -76.48013889)
