AÑO|SECTOR|AHDI|CANTIDAD|AREA
2018|JARILLON|Brisas del Cauca|300|52967,19
2018|JARILLON|Floralia|24|4247,12
2018|JARILLON|La Playita|8|545,79
2018|JARILLON|Las Palmas|13|1528,16
2018|JARILLON|Navarro|5|733,50
2018|JARILLON|Puerto Nuevo|59|6806,44
2018|JARILLON|Rio Cali|3|3366,56
2018|JARILLON|Samanes|16|8174,79
2018|LAGUNAS|La Florida|13|712,33
2018|LAGUNAS|Nueva Florida|84|4151,43
2018|LAGUNAS|Nueva Ilusión|27|1033,51
2018|LAGUNAS|Playa Alta|7|196,72
2018|LAGUNAS|Playa Baja|1|42,51
2018|LAGUNAS|Polo|25|1418,33
2018|LAGUNAS|Sardi|1|34,80
2018|LAGUNAS|Villa Uribe|5|200,01
2019|JARILLON|Brisas del Cauca|38|5506,08
2019|JARILLON|La Playita|19|1035,79
2019|JARILLON|Las Palmas|4|541,65
2019|JARILLON|Navarro|148|39528,53
2019|JARILLON|Puerto Nuevo|102|10221,22
2019|JARILLON|Samanes|37|11654,64
2019|LAGUNAS|El Jazmín|4|244,59
2019|LAGUNAS|La Florida|13|655,41
2019|LAGUNAS|Nueva Florida|81|3818,52
2019|LAGUNAS|Nueva Ilusión|2|80,52
2019|LAGUNAS|Playa Alta|3|149,36
2019|LAGUNAS|Playa Baja|2|82,27
2019|LAGUNAS|Polo|7|431,42
2019|LAGUNAS|Villa Uribe|8|273,93
2020|JARILLON|Brisas del Cauca|14|868,84
2020|JARILLON|Comfenalco|1|135,13
2020|JARILLON|Floralia|2|108,72
2020|JARILLON|La Playita|1|76,38
2020|JARILLON|Navarro|1|48,20
2020|JARILLON|Puerto Nuevo|4|359,71
2020|LAGUNAS|La Florida|1|35,65
2020|LAGUNAS|Nueva Florida|12|486,72
2020|LAGUNAS|Nueva Ilusión|8|354,64
2020|LAGUNAS|Playa Alta|3|198,07
2020|LAGUNAS|Playa Baja|3|153,03
2020|LAGUNAS|Polo|3|123,90
2020|LAGUNAS|Villa Uribe|3|109,04
2021|JARILLON|Brisas del Cauca|9|515,96
2021|JARILLON|Floralia|1|47,52
2021|JARILLON|La Playita|5|478,74
2021|JARILLON|Las Palmas|1|166,03
2021|JARILLON|Navarro|1|34,31
2021|JARILLON|Puerto Nuevo|8|685,49
2021|LAGUNAS|El Jazmín|1|53,48
2021|LAGUNAS|La Esperanza|1|125,36
2021|LAGUNAS|La Florida|1|40,92
2021|LAGUNAS|Nueva Florida|16|798,88
2021|LAGUNAS|Polo|2|92,52
2021|LAGUNAS|Villa Uribe|6|212,21
2022|JARILLON|Brisas del Cauca|15|826,75
2022|JARILLON|Comfenalco|1|633,22
2022|JARILLON|Floralia|5|239,73
2022|JARILLON|La Playita|3|185,64
2022|JARILLON|Las Palmas|9|1138,89
2022|JARILLON|Navarro|6|496,19
2022|JARILLON|Puerto Nuevo|21|2045,95
2022|JARILLON|Rio Cali|3|371,52
2022|JARILLON|Samanes|1|1261,76
2022|LAGUNAS|El Barandal|1|26,46
2022|LAGUNAS|El Jazmín|1|101,08
2022|LAGUNAS|La Florida|11|868,77
2022|LAGUNAS|Nueva Florida|18|857,07
2022|LAGUNAS|Playa Baja|1|20,61
2022|LAGUNAS|Polo|5|286,41
2022|LAGUNAS|Sardi|1|38,16
2022|LAGUNAS|Villa Uribe|5|252,24
2023|JARILLON|Brisas del Cauca|5|291,98
2023|JARILLON|Comfenalco|3|174,05
2023|JARILLON|Floralia|7|422,00
2023|JARILLON|La Playita|5|267,70
2023|JARILLON|Las Palmas|1|157,23
2023|JARILLON|Navarro|2|836,52
2023|JARILLON|Puerto Nuevo|20|1683,04
2023|LAGUNAS|Belisario|1|80,88
2023|LAGUNAS|La Florida|4|439,25
2023|LAGUNAS|Nueva Florida|13|690,51
2023|LAGUNAS|Playa Alta|1|11,84
2023|LAGUNAS|Polo|2|135,42
2023|LAGUNAS|Villa Uribe|2|140,22
2024|JARILLON|Brisas del Cauca|1|53,58
2024|JARILLON|La Playita|1|78,32
2024|JARILLON|Las Palmas|1|25,76
2024|JARILLON|Navarro|2|183,83
2024|JARILLON|Puerto Nuevo|18|1460,18
2024|LAGUNAS|La Florida|2|111,03
2024|LAGUNAS|Nueva Florida|2|91,35
