cod_dane,snapshot_date,cod_establecimiento,nombre_establecimiento,nombre_sede,sede_principal,sector,correo_institucional,direccion,telefono,niveles,zona,cod_dep,nom_dep,cod_mun,nom_mun,cat_mun,mun_pdet,mun_zomac,nom_reg,cod_etc,nom_etc,total_matricula,matricula_prel,estado_fisico,confianza_geo,lat,lon,ausente_desde,first_seen
176001001001,2026-08-29,176001001745,INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL,SEDE LA PRESENTACION,N,OFICIAL,IE.LICEODEPARTAMENTAL@CALI.EDU.CO,IND CALLE 5B1#29-06,3002620526,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,211.0,211.0,Reporta afectación sin definir el impacto,2 - MEDIA,3.4266392236952634,-76.51461651237332,\N,2026-08-29T08:58:22Z
176001001290,2026-08-29,176001003586,INSTITUCION EDUCATIVA JUAN DE AMPUDIA,JARDIN NACIONAL NO.1,N,OFICIAL,IE.JUANAMPUDIA@CALI.EDU.CO,CL 58 11 B 48,3160259320,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,95.0,95.0,No aporta información,2 - MEDIA,3.4481807296058538,-76.4947565401057,\N,2026-08-29T08:58:22Z
176001001656,2026-08-29,176001001656,INSTITUCION EDUCATIVA GUILLERMO VALENCIA,INSTITUCION EDUCATIVA GUILLERMO VALENCIA,S,OFICIAL,IE_GVALENCIA@CALI.GOV.CO,KR 7 NORTE 45 A 08,3164537569,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,207.0,207.0,No aporta información,2 - MEDIA,3.4742374889247745,-76.51143731080244,\N,2026-08-29T08:58:22Z
176001001664,2026-08-29,176001001664,INSTITUCION EDUCATIVA  VICENTE BORRERO COSTA,INSTITUCION EDUCATIVA VICENTE BORRERO COSTA,S,OFICIAL,JBORRERO@VALLEDELCAUCA.GOV.CO,CL 76 KR 7 S 00 EQ,6620161,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,909.0,685.0,No aporta información,3 - BAJA,\N,\N,\N,2026-08-29T08:58:26Z
176001001672,2026-08-29,176001001672,INSTITUCION EDUCATIVA TECNICO DE COMERCIO SANTA CECILIA,INSTITUCION EDUCATIVA TECNICO DE COMERCIO SANTA CECILIA - SEDE PRINCIPAL,S,OFICIAL,SANTACECILIA1960@HOTMAIL.COM,IND CALLE 61AN # 2GN-62,6642088 - 6653521,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,680.0,680.0,No aporta información,2 - MEDIA,3.488201536942422,-76.50857321577533,\N,2026-08-29T08:58:22Z
176001001681,2026-08-29,176001001681,INSTITUCION EDUCATIVA ALBERTO CARVAJAL BORRERO,INSTITUCION EDUCATIVA ALBERTO CARVAJAL BORRERO,S,OFICIAL,IEALCOBO@HOTMAIL.COM,IND KR 14 58 00,3206180085,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,503.0,503.0,Reporta afectación sin definir el impacto,2 - MEDIA,3.444460000190023,-76.49486300034833,\N,2026-08-29T08:58:26Z
176001001699,2026-08-29,176001001699,INSTITUCION EDUCATIVA LA MERCED,INSTITUCION EDUCATIVA LA MERCED,S,OFICIAL,IE_LAMERCED@CALI.GOV.CO,CL 47 4 E 30,3206966514,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,534.0,534.0,No aporta información,2 - MEDIA,3.462375994616765,-76.50309470526786,\N,2026-08-29T08:58:26Z
176001001702,2026-08-29,176001001702,INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO,INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO,S,OFICIAL,ADMINISTRADOR@IEAVASQUEZCOBOCALI.EDU.CO,CL 15 A 22 A 37,3108179601,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,519.0,519.0,Reporta afectación sin definir el impacto,2 - MEDIA,3.436811599559659,-76.52518860978064,\N,2026-08-29T08:58:22Z
176001001729,2026-08-29,176001001729,INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON RODRIGUEZ,INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON RODRIGUEZ,S,OFICIAL,IE.SIMONRODRIGUEZ@CALI.EDU.CO,KR 1 D BIS 49 98,6023998001,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,687.0,646.0,Reporta afectación sin definir el impacto,2 - MEDIA,3.470444060434076,-76.50374570986268,\N,2026-08-29T08:58:22Z
176001001745,2026-08-29,176001001745,INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL,INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL,S,OFICIAL,IE_LICEODEPARTAMENTAL@CALI.GOV,KR 37 A 8 38,3002620526,"MEDIA,BÁSICA SECUNDARIA",URBANA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,MUNICIPIO,NO,NO,NO APLICA,3818,SECRETARÍA DE EDUCACIÓN DE CALI,1293.0,1293.0,Reporta afectación sin definir el impacto,2 - MEDIA,3.423031900045886,-76.53888541964866,\N,2026-08-29T08:58:22Z
