resource_id,dataset,dataset_id,municipio,departamento,nombre,formato,conjunto_huellas,ubicacion,ruta,sha256,bytes,download_url,total_edificios,total_danados,total_revisados,total_desconocidos,first_seen,snapshot_date
25f91e45-a0aa-4bf7-bcc8-6addf3c68303,cali,98e2bb4b-e2b9-4178-bf47-826883ca08cc,Cali,Valle del Cauca,airbus_cali_warped_cog_model-predictions.tif,GeoTIFF,\N,r2,data/media/airbus_cali_warped_cog_model-predictions.tif,4c4f55fed11e7cd7bbdf0de2eadd84e251e4d5fc26aea7517e2fe56bd15f6c10,19459394,https://data.humdata.org/dataset/98e2bb4b-e2b9-4178-bf47-826883ca08cc/resource/25f91e45-a0aa-4bf7-bcc8-6addf3c68303/download/airbus_cali_warped_cog_model-predictions.tif,\N,\N,\N,\N,2026-08-31T10:29:50Z,2026-09-25
2e917265-3d4e-4660-8256-51c77c435063,cali,98e2bb4b-e2b9-4178-bf47-826883ca08cc,Cali,Valle del Cauca,airbus_8-10_cali_valid_area_mask.geojson,GeoJSON,\N,git,data/media/airbus_8-10_cali_valid_area_mask.geojson,4f13051b9054400a6ab0a80fbf5c287cd0debad7e49c937ebe393c0f728e25a4,717,https://data.humdata.org/dataset/98e2bb4b-e2b9-4178-bf47-826883ca08cc/resource/2e917265-3d4e-4660-8256-51c77c435063/download/airbus_8-10_cali_valid_area_mask.geojson,\N,\N,\N,\N,2026-08-30T16:24:01Z,2026-09-25
38294d4f-37da-4836-99e2-65046a3e7512,pereira_extended,7e4d0010-e05e-40d6-8c85-10d1139571e8,Pereira,Risaralda,predicted_damage_pereira_20260813-google_open_buildings_thresh0.2_reviewed_vantor_reviewed.gpkg,Geopackage,google,r2,data/media/predicted_damage_pereira_20260813-google_open_buildings_thresh0.2_reviewed_vantor_reviewed.gpkg,90e149caea117dc158aa8caa2d1640a71bb8dd558f1ec12ce863c9492a5f3aa3,41652224,https://data.humdata.org/dataset/7e4d0010-e05e-40d6-8c85-10d1139571e8/resource/38294d4f-37da-4836-99e2-65046a3e7512/download/predicted_damage_pereira_20260813-google_open_buildings_thresh0.2_reviewed_vantor_reviewed.gpkg,152128,763,1517,12332,2026-08-31T10:30:15Z,2026-09-25
4ab6fcd1-b0f4-4f2e-a116-fe57b7f99dc1,pereira_extended,7e4d0010-e05e-40d6-8c85-10d1139571e8,Pereira,Risaralda,predicted_damage_pereira_20260813-msft_footprint_reviewed_plus_google_dam_vantor_reviewed.gpkg,Geopackage,msft,r2,data/media/predicted_damage_pereira_20260813-msft_footprint_reviewed_plus_google_dam_vantor_reviewed.gpkg,d42a1ebc723baffbace1cd0baa2d2263cc6815dc90ae7763c1667d98379cdf5f,41332736,https://data.humdata.org/dataset/7e4d0010-e05e-40d6-8c85-10d1139571e8/resource/4ab6fcd1-b0f4-4f2e-a116-fe57b7f99dc1/download/predicted_damage_pereira_20260813-msft_footprint_reviewed_plus_google_dam_vantor_reviewed.gpkg,123924,654,1270,11725,2026-08-31T10:30:12Z,2026-09-25
5bb4056d-461b-4336-af49-e2022f1b486b,pereira_extended,7e4d0010-e05e-40d6-8c85-10d1139571e8,Pereira,Risaralda,valid_area_mask-pereira_east.geojson,GeoJSON,\N,git,data/media/valid_area_mask-pereira_east.geojson,48dae0f24716e84e7d78ee424e3d0269322ce2ba25357d2d6b9944a3710259c6,459,https://data.humdata.org/dataset/7e4d0010-e05e-40d6-8c85-10d1139571e8/resource/5bb4056d-461b-4336-af49-e2022f1b486b/download/valid_area_mask-pereira_east.geojson,\N,\N,\N,\N,2026-08-30T16:24:07Z,2026-09-25
8c85d107-6686-491a-897f-641be0bb0bbe,pereira,ee1f2b95-25ce-4927-91f1-0b432f032091,Pereira,Risaralda,vantor_8-12_pereira_model-predictions.tif,GeoTIFF,\N,r2,data/media/vantor_8-12_pereira_model-predictions.tif,a3505bfef4f1ca35b8efd807b7168ab7ad9c1aca20d61a83fd1df324a422d727,9887494,https://data.humdata.org/dataset/ee1f2b95-25ce-4927-91f1-0b432f032091/resource/8c85d107-6686-491a-897f-641be0bb0bbe/download/vantor_8-12_pereira_model-predictions.tif,\N,\N,\N,\N,2026-08-31T10:30:00Z,2026-09-25
a00eebfb-0590-456a-b46d-4633122330d9,cali,98e2bb4b-e2b9-4178-bf47-826883ca08cc,Cali,Valle del Cauca,airbus_8-10_cali_overture_building_footprints_with_predictions.gpkg,Geopackage,overture,r2,data/media/airbus_8-10_cali_overture_building_footprints_with_predictions.gpkg,56055fd73b66d50e5ceed3321f92b7849ad66891f8591d19915905cd6c9d49d0,28372992,https://data.humdata.org/dataset/98e2bb4b-e2b9-4178-bf47-826883ca08cc/resource/a00eebfb-0590-456a-b46d-4633122330d9/download/airbus_8-10_cali_overture_building_footprints_with_predictions.gpkg,97351,266,0,0,2026-08-31T10:29:57Z,2026-09-25
b5486439-cec6-4142-a7dc-b211f41bacf3,pereira,ee1f2b95-25ce-4927-91f1-0b432f032091,Pereira,Risaralda,vantor_8-12_pereira_google_buildings_with_predictions.gpkg,Geopackage,google,r2,data/media/vantor_8-12_pereira_google_buildings_with_predictions.gpkg,a8b09e86c5bb50d5e173b46835847ea5827e4494fdb92fa478fd6be56b910af4,19271680,https://data.humdata.org/dataset/ee1f2b95-25ce-4927-91f1-0b432f032091/resource/b5486439-cec6-4142-a7dc-b211f41bacf3/download/vantor_8-12_pereira_google_buildings_with_predictions.gpkg,75262,613,0,575,2026-08-31T10:30:05Z,2026-09-25
b8439db4-47ec-41c7-9e14-50daa46b7aac,pereira_extended,7e4d0010-e05e-40d6-8c85-10d1139571e8,Pereira,Risaralda,predicted_damage_pereira_20260813-overture_no_embedding_reviewed_vantor_reviewed.gpkg,Geopackage,overture,r2,data/media/predicted_damage_pereira_20260813-overture_no_embedding_reviewed_vantor_reviewed.gpkg,376ef17eb5a442696f81420b06a113849bd37912acd1a06eaa5997351cc2292e,20267008,https://data.humdata.org/dataset/7e4d0010-e05e-40d6-8c85-10d1139571e8/resource/b8439db4-47ec-41c7-9e14-50daa46b7aac/download/predicted_damage_pereira_20260813-overture_no_embedding_reviewed_vantor_reviewed.gpkg,77589,446,813,9389,2026-08-31T10:30:08Z,2026-09-25
bb51b3cd-7f0a-4d25-bb7a-bb1d82d8b4ac,pereira,ee1f2b95-25ce-4927-91f1-0b432f032091,Pereira,Risaralda,vantor_8-12_pereira_valid_area_mask.geojson,GeoJSON,\N,git,data/media/vantor_8-12_pereira_valid_area_mask.geojson,505fec88d99b9709a462d55c914ba8c552f0424c8b1eb8a896aafe6313538440,1628,https://data.humdata.org/dataset/ee1f2b95-25ce-4927-91f1-0b432f032091/resource/bb51b3cd-7f0a-4d25-bb7a-bb1d82d8b4ac/download/vantor_8-12_pereira_valid_area_mask.geojson,\N,\N,\N,\N,2026-08-30T16:24:04Z,2026-09-25
